Nombre del contacto;Apellido del contacto;Email del contacto;Departamento del contacto;Puesto del contacto;Jerarquia del contacto;Genero del contacto;Celular del contacto;Linkedln del contacto;Contacto de Cordoba pero empresa de Buenos Aires ;El contacto pertenece al Staff de Amcham;El contacto pertenece al Board;El contacto es director titular del board;El contacto es director suplente del board;Estado del contacto;ID del contacto;ID de la empresa
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx;xxxx
